Carrier,Description,Total_Flights,Total_Cancelled,Ratio
MQ,American Eagle Airlines Inc.,2373620,96365,0.04059832660661774
OH,Comair Inc.,754683,24986,0.03310794068502934
EV,Atlantic Southeast Airlines,857220,27947,0.032601899162408715
DH,Independence Air,693047,22176,0.03199782987301006
UA,United Air Lines Inc.,3655110,102066,0.027924193799912997
AS,Alaska Airlines Inc.,956498,26667,0.02787982829028393
US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),3206520,85866,0.026778563676509114
AQ,Aloha Airlines Inc.,64834,1662,0.02563469784372397
DL,Delta Air Lines Inc.,4478580,107851,0.024081516909377525
AA,American Airlines Inc.,4436047,105762,0.023841496719940073
TW,Trans World Airways LLC,511852,11001,0.021492540812578637
HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),1208561,25402,0.02101838467400487
XE,Expressjet Airlines Inc.,1099556,21483,0.01953788620133945
NW,Northwest Airlines Inc.,3084991,59210,0.01919292471193595
OO,Skywest Airlines Inc.,1377703,25924,0.018816827719762532
CO,Continental Air Lines Inc.,1994295,26565,0.013320496716884914
FL,AirTran Airways Corporation,502650,6075,0.012085944494180842
WN,Southwest Airlines Co.,5810593,65549,0.011280948433318252
TZ,ATA Airlines d/b/a ATA,188818,2080,0.011015898907943099
B6,JetBlue Airways,268068,1707,0.0063677872778548725
F9,Frontier Airlines Inc.,53255,175,0.00328607642474885
HA,Hawaiian Airlines Inc.,104091,268,0.002574670240462672
